<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
POLY,D,20170620,000000,675.5000000,686.5000000,675.5000000,682.5000000,35803
POLY,D,20170621,000000,680.0000000,684.5000000,674.5000000,678.0000000,27882
POLY,D,20170622,000000,678.0000000,698.0000000,670.5000000,684.5000000,51350
POLY,D,20170623,000000,681.5000000,710.0000000,681.0000000,705.0000000,98955
POLY,D,20170626,000000,706.0000000,709.0000000,678.0000000,685.0000000,43943
POLY,D,20170627,000000,684.0000000,684.0000000,674.0000000,676.0000000,53208
POLY,D,20170628,000000,676.5000000,686.5000000,661.0000000,679.0000000,81810
POLY,D,20170629,000000,681.5000000,688.0000000,661.0000000,666.0000000,102673
POLY,D,20170630,000000,666.5000000,671.0000000,653.5000000,667.0000000,59969
POLY,D,20170703,000000,661.5000000,677.0000000,659.0000000,667.0000000,63796
POLY,D,20170704,000000,665.5000000,673.5000000,660.0000000,667.5000000,60900
POLY,D,20170705,000000,668.0000000,686.0000000,666.0000000,680.0000000,53037
POLY,D,20170706,000000,684.0000000,691.5000000,672.0000000,674.0000000,62546
POLY,D,20170707,000000,674.5000000,678.0000000,663.5000000,668.5000000,58092
POLY,D,20170710,000000,664.0000000,674.0000000,652.0000000,673.5000000,67351
POLY,D,20170711,000000,673.5000000,681.0000000,672.0000000,680.0000000,41601
POLY,D,20170712,000000,682.0000000,684.0000000,672.5000000,673.0000000,36859
POLY,D,20170713,000000,674.0000000,699.0000000,673.5000000,682.5000000,77843
POLY,D,20170714,000000,683.5000000,697.5000000,675.0000000,691.5000000,51731
POLY,D,20170717,000000,695.0000000,707.5000000,691.5000000,703.0000000,113885
POLY,D,20170718,000000,706.0000000,710.5000000,699.0000000,710.0000000,78807
POLY,D,20170719,000000,706.0000000,710.0000000,690.5000000,693.0000000,101097
POLY,D,20170720,000000,691.0000000,699.0000000,680.5000000,695.5000000,86811
POLY,D,20170721,000000,693.0000000,697.0000000,689.5000000,691.5000000,58931
POLY,D,20170724,000000,693.5000000,697.0000000,689.5000000,691.5000000,77904
POLY,D,20170725,000000,694.5000000,714.5000000,688.5000000,708.5000000,196060
POLY,D,20170726,000000,706.5000000,716.5000000,703.5000000,710.0000000,127911
POLY,D,20170727,000000,714.0000000,730.0000000,712.5000000,716.5000000,111843
POLY,D,20170728,000000,716.5000000,716.5000000,699.0000000,708.5000000,94388
POLY,D,20170731,000000,713.0000000,732.0000000,709.0000000,732.0000000,172310
POLY,D,20170801,000000,732.9000000,738.4000000,725.0000000,725.0000000,66763
POLY,D,20170802,000000,725.1000000,736.0000000,725.0000000,729.9000000,68694
POLY,D,20170803,000000,725.4000000,738.7000000,725.4000000,736.8000000,72435
POLY,D,20170804,000000,731.1000000,738.5000000,700.0000000,704.0000000,151174
POLY,D,20170807,000000,707.9000000,710.6000000,694.4000000,708.0000000,163079
POLY,D,20170808,000000,709.7000000,714.4000000,698.5000000,704.2000000,59002
POLY,D,20170809,000000,710.0000000,733.4000000,705.3000000,731.8000000,139641
POLY,D,20170810,000000,734.0000000,742.4000000,726.0000000,734.0000000,88595
POLY,D,20170811,000000,740.3000000,740.6000000,726.6000000,737.0000000,84578
POLY,D,20170814,000000,736.1000000,736.1000000,722.3000000,725.2000000,99065
POLY,D,20170815,000000,722.0000000,727.6000000,699.7000000,704.1000000,172740
POLY,D,20170816,000000,704.5000000,707.9000000,692.4000000,698.3000000,157139
POLY,D,20170817,000000,702.1000000,724.2000000,701.1000000,713.7000000,165353
POLY,D,20170818,000000,718.6000000,726.8000000,703.9000000,708.8000000,139374
POLY,D,20170821,000000,710.2000000,714.0000000,706.2000000,710.6000000,43672
POLY,D,20170822,000000,709.4000000,714.0000000,698.1000000,701.5000000,78854
POLY,D,20170823,000000,705.2000000,719.4000000,694.9000000,712.1000000,122971
POLY,D,20170824,000000,712.0000000,729.0000000,706.4000000,725.8000000,98136
POLY,D,20170825,000000,721.3000000,723.5000000,708.7000000,714.0000000,88672
POLY,D,20170828,000000,714.2000000,726.3000000,708.1000000,724.0000000,58503
POLY,D,20170829,000000,726.0000000,745.4000000,721.8000000,737.5000000,234145
POLY,D,20170830,000000,734.9000000,745.0000000,707.2000000,713.0000000,278368
POLY,D,20170831,000000,712.2000000,712.4000000,662.1000000,674.4000000,856366
POLY,D,20170901,000000,674.4000000,674.6000000,642.0000000,653.1000000,711990
POLY,D,20170904,000000,654.8000000,675.9000000,654.8000000,673.9000000,333227
POLY,D,20170905,000000,675.1000000,679.0000000,665.0000000,672.5000000,187618
POLY,D,20170906,000000,672.5000000,674.9000000,665.0000000,670.9000000,166246
POLY,D,20170907,000000,665.5000000,677.7000000,661.2000000,676.3000000,210116
POLY,D,20170908,000000,677.8000000,685.6000000,671.1000000,672.8000000,181493
POLY,D,20170911,000000,672.0000000,672.9000000,655.1000000,657.6000000,346172
POLY,D,20170912,000000,651.8000000,663.1000000,649.6000000,659.0000000,244175
POLY,D,20170913,000000,662.6000000,663.7000000,645.0000000,648.6000000,434975
POLY,D,20170914,000000,649.5000000,649.7000000,630.5000000,634.4000000,340009
POLY,D,20170915,000000,636.4000000,658.5000000,626.0000000,650.9000000,348435
POLY,D,20170918,000000,648.0000000,651.8000000,633.6000000,639.0000000,255061
POLY,D,20170919,000000,637.5000000,644.9000000,631.7000000,642.4000000,166849
POLY,D,20170920,000000,643.0000000,645.0000000,637.1000000,637.4000000,122487
POLY,D,20170921,000000,637.2000000,640.3000000,625.0000000,630.9000000,347725
POLY,D,20170922,000000,633.0000000,644.4000000,630.0000000,640.0000000,165542
POLY,D,20170925,000000,640.0000000,652.8000000,639.8000000,652.4000000,242956
POLY,D,20170926,000000,651.0000000,663.2000000,650.4000000,659.5000000,260957
POLY,D,20170927,000000,660.0000000,664.0000000,652.5000000,659.0000000,149048
POLY,D,20170928,000000,660.0000000,660.5000000,643.5000000,647.0000000,154058
POLY,D,20170929,000000,648.3000000,651.9000000,644.0000000,649.8000000,85278
POLY,D,20171002,000000,649.1000000,649.1000000,640.4000000,644.6000000,145508
POLY,D,20171003,000000,644.7000000,654.4000000,642.2000000,651.4000000,116993
POLY,D,20171004,000000,651.3000000,659.7000000,645.6000000,657.5000000,153377
POLY,D,20171005,000000,657.2000000,662.0000000,653.0000000,661.6000000,108338
POLY,D,20171006,000000,661.6000000,661.7000000,644.0000000,650.0000000,200414
POLY,D,20171009,000000,653.6000000,660.0000000,649.9000000,656.0000000,205243
POLY,D,20171010,000000,658.0000000,663.4000000,656.0000000,660.5000000,141606
POLY,D,20171011,000000,659.7000000,671.9000000,653.0000000,668.3000000,167361
POLY,D,20171012,000000,670.1000000,679.4000000,665.7000000,678.3000000,150482
POLY,D,20171013,000000,678.4000000,689.0000000,678.0000000,680.5000000,158962
POLY,D,20171016,000000,684.2000000,696.0000000,673.3000000,682.5000000,214401
POLY,D,20171017,000000,682.5000000,684.7000000,675.1000000,677.5000000,105664
POLY,D,20171018,000000,676.1000000,689.7000000,672.0000000,688.0000000,117600
POLY,D,20171019,000000,682.8000000,691.6000000,681.8000000,689.3000000,267504
POLY,D,20171020,000000,687.4000000,693.0000000,682.0000000,685.6000000,106056
POLY,D,20171023,000000,684.8000000,693.7000000,679.7000000,690.0000000,100191
POLY,D,20171024,000000,690.1000000,693.8000000,684.5000000,688.6000000,163111
POLY,D,20171025,000000,688.6000000,690.2000000,681.1000000,681.4000000,121154
POLY,D,20171026,000000,683.3000000,685.9000000,675.0000000,678.7000000,104247
POLY,D,20171027,000000,675.0000000,678.4000000,667.2000000,674.6000000,160514
POLY,D,20171030,000000,672.3000000,674.7000000,661.0000000,674.7000000,97339
POLY,D,20171031,000000,675.0000000,679.5000000,669.5000000,675.6000000,104470
POLY,D,20171101,000000,672.8000000,696.3000000,672.1000000,693.0000000,356255
POLY,D,20171102,000000,693.1000000,697.0000000,662.0000000,691.3000000,132125
POLY,D,20171103,000000,691.3000000,697.8000000,675.6000000,687.4000000,58492
POLY,D,20171107,000000,682.5000000,699.4000000,682.5000000,689.9000000,160622
POLY,D,20171108,000000,686.0000000,697.9000000,684.1000000,693.5000000,148835
POLY,D,20171109,000000,696.9000000,698.9000000,688.1000000,691.7000000,71493
POLY,D,20171110,000000,690.0000000,697.8000000,685.2000000,695.0000000,108203
POLY,D,20171113,000000,693.1000000,700.0000000,690.1000000,700.0000000,96468
POLY,D,20171114,000000,700.5000000,728.0000000,697.9000000,715.0000000,357819
POLY,D,20171115,000000,720.0000000,729.5000000,705.0000000,705.0000000,106748
POLY,D,20171116,000000,708.5000000,708.5000000,677.6000000,690.0000000,116012
POLY,D,20171117,000000,686.8000000,690.5000000,680.3000000,685.5000000,71230
POLY,D,20171120,000000,689.8000000,697.3000000,684.0000000,695.0000000,87032
POLY,D,20171121,000000,694.9000000,699.7000000,687.5000000,694.1000000,73240
POLY,D,20171122,000000,694.5000000,726.0000000,686.0000000,725.9000000,195025
POLY,D,20171123,000000,726.0000000,726.2000000,695.2000000,716.0000000,55265
POLY,D,20171124,000000,718.6000000,725.0000000,711.4000000,718.2000000,103109
POLY,D,20171127,000000,715.2000000,725.4000000,705.0000000,716.9000000,71879
POLY,D,20171128,000000,719.8000000,720.9000000,704.5000000,710.5000000,168749
POLY,D,20171129,000000,708.3000000,727.0000000,701.0000000,708.1000000,80100
POLY,D,20171130,000000,711.0000000,712.4000000,701.7000000,703.8000000,71496
POLY,D,20171201,000000,710.2000000,710.2000000,696.2000000,704.8000000,57197
POLY,D,20171204,000000,704.7000000,711.2000000,688.0000000,690.4000000,91298
POLY,D,20171205,000000,687.1000000,691.2000000,671.0000000,672.0000000,124620
POLY,D,20171206,000000,672.3000000,678.5000000,664.0000000,665.9000000,114426
POLY,D,20171207,000000,663.8000000,670.0000000,660.2000000,666.9000000,142677
POLY,D,20171208,000000,670.0000000,678.0000000,666.0000000,670.8000000,96977
POLY,D,20171211,000000,667.7000000,693.8000000,667.7000000,688.9000000,105004
POLY,D,20171212,000000,683.8000000,688.0000000,666.1000000,668.0000000,126452
POLY,D,20171213,000000,668.0000000,673.4000000,652.0000000,660.1000000,168335
POLY,D,20171214,000000,663.6000000,681.3000000,663.6000000,673.9000000,143672
POLY,D,20171215,000000,669.4000000,685.0000000,669.4000000,678.9000000,75162
POLY,D,20171218,000000,678.0000000,688.5000000,674.2000000,685.4000000,82359
POLY,D,20171219,000000,685.7000000,698.0000000,680.7000000,688.6000000,153238
POLY,D,20171220,000000,684.3000000,696.8000000,678.0000000,695.0000000,107885
POLY,D,20171221,000000,698.5000000,701.0000000,689.1000000,697.5000000,171983
POLY,D,20171222,000000,694.0000000,700.5000000,687.0000000,692.0000000,64173
